pinned maps at /sys/fs/bpf/kubescx
scx_kube loaded. Classify tasks with kubescx-agent, then Ctrl-C to unload.
enq lat=0 def=9 bg=0  disp lat=0 def=2 bg=0  idle=2 kick=0
enq lat=17 def=243 bg=4  disp lat=17 def=240 bg=1  idle=35 kick=2
enq lat=972 def=1393 bg=15  disp lat=972 def=1390 bg=12  idle=35 kick=44
enq lat=1676 def=2474 bg=21  disp lat=1676 def=2470 bg=18  idle=35 kick=85
enq lat=2432 def=3580 bg=30  disp lat=2432 def=3579 bg=27  idle=35 kick=123
enq lat=3183 def=4666 bg=39  disp lat=3183 def=4663 bg=36  idle=35 kick=161
enq lat=3958 def=5731 bg=52  disp lat=3958 def=5728 bg=49  idle=35 kick=193
enq lat=4785 def=6833 bg=64  disp lat=4784 def=6828 bg=61  idle=35 kick=233
enq lat=5544 def=7924 bg=78  disp lat=5544 def=7921 bg=75  idle=35 kick=274
enq lat=6303 def=8991 bg=90  disp lat=6303 def=8989 bg=87  idle=35 kick=314
enq lat=7138 def=10044 bg=104  disp lat=7137 def=10041 bg=101  idle=35 kick=344
enq lat=7835 def=11121 bg=108  disp lat=7835 def=11119 bg=105  idle=35 kick=381
enq lat=8552 def=12207 bg=122  disp lat=8552 def=12204 bg=119  idle=35 kick=425
enq lat=9259 def=13278 bg=133  disp lat=9258 def=13275 bg=130  idle=35 kick=462
enq lat=10059 def=14372 bg=143  disp lat=10059 def=14369 bg=140  idle=35 kick=503
enq lat=10861 def=15474 bg=154  disp lat=10861 def=15471 bg=151  idle=35 kick=538
enq lat=11668 def=16553 bg=165  disp lat=11667 def=16550 bg=162  idle=35 kick=574
enq lat=12368 def=17652 bg=179  disp lat=12368 def=17651 bg=176  idle=35 kick=622
enq lat=13223 def=18763 bg=201  disp lat=13223 def=18760 bg=198  idle=35 kick=673
enq lat=14018 def=19836 bg=214  disp lat=14018 def=19835 bg=211  idle=35 kick=707
enq lat=14795 def=20960 bg=229  disp lat=14794 def=20957 bg=226  idle=35 kick=761
enq lat=15552 def=22025 bg=240  disp lat=15552 def=22021 bg=237  idle=35 kick=790
enq lat=16329 def=23087 bg=245  disp lat=16329 def=23086 bg=242  idle=35 kick=818
enq lat=17093 def=24159 bg=253  disp lat=17093 def=24157 bg=250  idle=35 kick=849
enq lat=17853 def=25258 bg=260  disp lat=17853 def=25257 bg=257  idle=35 kick=875
enq lat=18702 def=26363 bg=273  disp lat=18701 def=26360 bg=270  idle=35 kick=920
enq lat=19416 def=27452 bg=286  disp lat=19415 def=27447 bg=283  idle=35 kick=961
enq lat=20125 def=28548 bg=300  disp lat=20125 def=28545 bg=297  idle=35 kick=1005
enq lat=20952 def=29611 bg=309  disp lat=20951 def=29608 bg=306  idle=35 kick=1045
enq lat=21703 def=30699 bg=320  disp lat=21702 def=30696 bg=317  idle=35 kick=1095
enq lat=22529 def=31795 bg=338  disp lat=22529 def=31792 bg=335  idle=35 kick=1143
enq lat=23168 def=32830 bg=408  disp lat=23168 def=32830 bg=407  idle=40 kick=1188
enq lat=23168 def=32857 bg=914  disp lat=23168 def=32857 bg=913  idle=45 kick=1188
