pinned maps at /sys/fs/bpf/kubescx
scx_kube loaded. Classify tasks with kubescx-agent, then Ctrl-C to unload.
enq lat=0 def=9 bg=0  disp lat=0 def=4 bg=0  idle=2 kick=0
enq lat=19 def=257 bg=4  disp lat=19 def=255 bg=1  idle=24 kick=2
enq lat=900 def=1332 bg=15  disp lat=900 def=1329 bg=12  idle=24 kick=40
enq lat=1674 def=2432 bg=25  disp lat=1674 def=2429 bg=22  idle=24 kick=88
enq lat=2581 def=3536 bg=36  disp lat=2581 def=3535 bg=33  idle=24 kick=139
enq lat=3449 def=4631 bg=47  disp lat=3449 def=4628 bg=44  idle=24 kick=183
enq lat=4166 def=5718 bg=59  disp lat=4166 def=5715 bg=56  idle=24 kick=226
enq lat=4932 def=6783 bg=68  disp lat=4932 def=6780 bg=65  idle=24 kick=263
enq lat=5773 def=7873 bg=79  disp lat=5772 def=7869 bg=76  idle=24 kick=297
enq lat=6564 def=8961 bg=84  disp lat=6563 def=8958 bg=81  idle=24 kick=328
enq lat=7317 def=10055 bg=95  disp lat=7316 def=10052 bg=92  idle=24 kick=366
enq lat=8024 def=11091 bg=101  disp lat=8024 def=11088 bg=98  idle=24 kick=384
enq lat=8812 def=12166 bg=110  disp lat=8812 def=12164 bg=107  idle=24 kick=429
enq lat=9564 def=13231 bg=118  disp lat=9563 def=13228 bg=115  idle=24 kick=462
enq lat=10344 def=14349 bg=126  disp lat=10343 def=14346 bg=123  idle=24 kick=494
enq lat=11213 def=15412 bg=131  disp lat=11213 def=15410 bg=128  idle=24 kick=530
enq lat=11914 def=16511 bg=141  disp lat=11913 def=16507 bg=138  idle=24 kick=575
enq lat=12756 def=17793 bg=149  disp lat=12756 def=17788 bg=146  idle=24 kick=626
enq lat=13644 def=19036 bg=162  disp lat=13644 def=19032 bg=159  idle=24 kick=667
enq lat=14355 def=20119 bg=164  disp lat=14354 def=20116 bg=161  idle=24 kick=702
enq lat=15132 def=21205 bg=178  disp lat=15131 def=21202 bg=175  idle=24 kick=741
enq lat=15903 def=22281 bg=183  disp lat=15902 def=22278 bg=180  idle=24 kick=774
enq lat=16662 def=23362 bg=196  disp lat=16662 def=23359 bg=193  idle=24 kick=817
enq lat=17375 def=24483 bg=204  disp lat=17375 def=24480 bg=201  idle=24 kick=851
enq lat=18199 def=25542 bg=219  disp lat=18199 def=25541 bg=216  idle=24 kick=886
enq lat=19024 def=26618 bg=227  disp lat=19024 def=26617 bg=224  idle=24 kick=934
enq lat=19738 def=27714 bg=235  disp lat=19738 def=27711 bg=232  idle=24 kick=978
enq lat=20463 def=28818 bg=247  disp lat=20463 def=28816 bg=244  idle=24 kick=1019
enq lat=21264 def=29913 bg=253  disp lat=21264 def=29910 bg=250  idle=24 kick=1058
enq lat=22038 def=31006 bg=263  disp lat=22038 def=31003 bg=260  idle=24 kick=1100
enq lat=22792 def=32079 bg=275  disp lat=22792 def=32076 bg=272  idle=24 kick=1131
enq lat=23498 def=33069 bg=350  disp lat=23498 def=33069 bg=349  idle=26 kick=1172
enq lat=23498 def=33094 bg=849  disp lat=23498 def=33094 bg=847  idle=34 kick=1172
